,available_time,job_id,job_title,location,job_url,company_name,company_url
12,2020-11-21 17:31:40.166271,19250638,Data and Analytics Quantitative Analyst 3157309,Apply Now,https://ca.linkedin.com/jobs/view/data-and-analytics-quantitative-analyst-3157309-at-morgan-stanley-2277234801?refId=ef3ce95b-d274-44d0-ad6a-2c076102146b&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Morgan Stanley,https://www.linkedin.com/company/morgan-stanley?trk=public_jobs_job-result-card_result-card_subtitle-click
13,2020-11-21 17:31:40.166273,90411840,Data Scientist - Winter 2021 Internship (8 Months),"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-scientist-winter-2021-internship-8-months-at-rbc-2294491932?refId=ef3ce95b-d274-44d0-ad6a-2c076102146b&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,RBC,https://ca.linkedin.com/company/rbc?trk=public_jobs_job-result-card_result-card_subtitle-click
14,2020-11-21 17:31:40.166275,59645250,AI Data Scientist – Internship,Apply Now,https://ca.linkedin.com/jobs/view/ai-data-scientist-%E2%80%93-internship-at-tecsys-inc-2288332648?refId=ef3ce95b-d274-44d0-ad6a-2c076102146b&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Tecsys Inc.,https://www.linkedin.com/company/tecsys-inc?trk=public_jobs_job-result-card_result-card_subtitle-click
15,2020-11-21 17:31:40.166277,70108871,Data Scientist,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-scientist-at-cn-2294789187?refId=ef3ce95b-d274-44d0-ad6a-2c076102146b&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,CN,https://ca.linkedin.com/company/cn?trk=public_jobs_job-result-card_result-card_subtitle-click
16,2020-11-21 17:31:40.166279,67807257,Data Scientist,"Montreal, Quebec, Canada",https://ca.linkedin.com/jobs/view/data-scientist-at-chrysalabs-2274630481?refId=ef3ce95b-d274-44d0-ad6a-2c076102146b&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,ChrysaLabs,https://ca.linkedin.com/company/chrysalabs?trk=public_jobs_job-result-card_result-card_subtitle-click
17,2020-11-21 17:31:40.166282,40857023,"Analyst/Senior Associate - FEM Credit Risk, Quantitative Risk Advisory","Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/analyst-senior-associate-fem-credit-risk-quantitative-risk-advisory-at-deloitte-canada-2235743613?refId=ef3ce95b-d274-44d0-ad6a-2c076102146b&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Deloitte Canada,https://ca.linkedin.com/company/deloitte-canada?trk=public_jobs_job-result-card_result-card_subtitle-click
18,2020-11-21 17:31:40.166284,91933134,Data Scientist II,"Montreal, Quebec, Canada",https://ca.linkedin.com/jobs/view/data-scientist-ii-at-td-2316060091?refId=ef3ce95b-d274-44d0-ad6a-2c076102146b&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,TD,https://ca.linkedin.com/company/td?trk=public_jobs_job-result-card_result-card_subtitle-click
19,2020-11-21 17:31:40.166289,55439376,Data Scientist,"Montreal, Quebec, Canada",https://ca.linkedin.com/jobs/view/data-scientist-at-just-energy-2231841953?refId=ef3ce95b-d274-44d0-ad6a-2c076102146b&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Just Energy,https://www.linkedin.com/company/just-energy_2?trk=public_jobs_job-result-card_result-card_subtitle-click
20,2020-11-21 17:31:40.166291,5403016,Data Scientist,"Montreal, Quebec, Canada",https://ca.linkedin.com/jobs/view/data-scientist-at-varicent-2317776520?refId=ef3ce95b-d274-44d0-ad6a-2c076102146b&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Overbond,https://ca.linkedin.com/company/overbond?trk=public_jobs_job-result-card_result-card_subtitle-click
21,2020-11-21 17:31:42.157954,43150736,Quantitative Developer,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/quantitative-developer-at-finance-professionals-inc-2312767582?refId=0b560bfa-06ae-4308-849a-102a5e5a7b26&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Finance Professionals Inc.,https://ca.linkedin.com/company/finance-professionals-inc.?trk=public_jobs_job-result-card_result-card_subtitle-click
