,job_title,location,job_url,company_name,company_url
0,Principal Security Compliance Analyst,"Richmond Hill, Ontario, Canada",https://ca.linkedin.com/jobs/view/principal-security-compliance-analyst-at-opentext-1907748348?refId=339bb95f-e1b7-4859-bc33-217568f38d84&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,OpenText,https://ca.linkedin.com/company/opentext?trk=public_jobs_job-result-card_result-card_subtitle-click
1,"Senior Compliance Officer, Testing - GBM&T","Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/senior-compliance-officer-testing-gbm-t-at-scotiabank-1974970269?refId=339bb95f-e1b7-4859-bc33-217568f38d84&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Scotiabank,https://ca.linkedin.com/company/scotiabank?trk=public_jobs_job-result-card_result-card_subtitle-click
2,Production Compliance Manager (DTPPD),"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/production-compliance-manager-dtppd-at-sanofi-aventis-u-s-1975354841?refId=339bb95f-e1b7-4859-bc33-217568f38d84&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Manulife,https://ca.linkedin.com/company/manulife-financial?trk=public_jobs_job-result-card_result-card_subtitle-click
3,Financial Analyst,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/financial-analyst-at-manulife-1974630843?refId=339bb95f-e1b7-4859-bc33-217568f38d84&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,OpenText,https://ca.linkedin.com/company/opentext?trk=public_jobs_job-result-card_result-card_subtitle-click
4,Principal Security Compliance Analyst,"Waterloo, Ontario, Canada",https://ca.linkedin.com/jobs/view/principal-security-compliance-analyst-at-opentext-1907743485?refId=339bb95f-e1b7-4859-bc33-217568f38d84&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,OpenText,https://ca.linkedin.com/company/opentext?trk=public_jobs_job-result-card_result-card_subtitle-click
5,"Senior Manager, Security Compliance (FedRAMP)","Waterloo, Ontario, Canada",https://ca.linkedin.com/jobs/view/senior-manager-security-compliance-fedramp-at-opentext-1929636119?refId=339bb95f-e1b7-4859-bc33-217568f38d84&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,OpenText,https://ca.linkedin.com/company/opentext?trk=public_jobs_job-result-card_result-card_subtitle-click
6,"Senior Manager, Security Compliance (FedRAMP)","Richmond Hill, Ontario, Canada",https://ca.linkedin.com/jobs/view/senior-manager-security-compliance-fedramp-at-opentext-1929637078?refId=339bb95f-e1b7-4859-bc33-217568f38d84&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Bench Accounting,https://ca.linkedin.com/company/benchaccounting?trk=public_jobs_job-result-card_result-card_subtitle-click
